M__DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,MudWgt,DEPT,VCLGR,VCLND,VCLRT,VCLSP,VCL,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIE,SWa,BVW,matrix
2960.0,-0.8334600000000001,105.598,8.6651,8.5,,6.2611,6.9714,2.259,38.7666,92.5225,10.5,2960.0,0.6905052631578947,0.2340799999999998,0.8694131908431689,0.986109,0.6905052631578947,0.2794150943396226,0.09962315789473677,0.2500911940338836,0.07029925758899777,0.2522580645161291,0.14088624787775894,0.38766599999999996,0.07693863157894733,0.10891243972835313,0.10891243972835313,1.0,0.10891243972835313,0.20058229711375214
2960.5,-0.75471,105.3558,8.6521,8.5,,6.3126,7.0705,2.2466,37.8857,92.3585,10.5,2960.5,0.6879557894736842,0.19985387755102033,0.8522387719805016,0.9874215,0.6879557894736842,0.2781773584905661,0.09904924726911624,0.24942547247952274,0.0702973612580729,0.26025806451612904,0.1492974533106961,0.378857,0.0692768947368421,0.10928717402376911,0.10928717402376911,1.0,0.10928717402376911,0.2027570365025467
2961.0,-0.08277000000000001,104.5651,8.6651,8.5,,6.353,7.1711,2.2233,38.9745,92.2887,10.5,2961.0,0.6796326315789474,0.20274285714285725,0.8352899077724644,0.9986205,0.6796326315789474,0.2776505660377359,0.10068961668321755,0.24914141709656765,0.07218046774204928,0.2752903225806451,0.16567215619694392,0.389745,0.08391031578947367,0.1247912359932088,0.1247912359932088,1.0,0.1247912359932088,0.19557613242784383
2961.5,0.03898,103.5408,8.662,8.5,,6.3937,7.2709,2.2609,40.5018,92.5463,10.5,2961.5,0.6688505263157896,0.2785134693877551,0.8189392542503422,1.0006496666666667,0.6688505263157896,0.2795947169811321,0.10544118371400196,0.2501876087968941,0.07603407552976399,0.2510322580645162,0.14315314091680817,0.40501800000000004,0.10403526315789474,0.12359420203735146,0.12359420203735146,1.0,0.12359420203735146,0.207555271646859
2962.0,-0.26628,103.6226,8.6708,8.5,,6.4346,7.3689,2.2383,41.2153,91.8236,10.5,2962.0,0.6697115789473684,0.2729257142857145,0.8033144794740884,0.995562,0.6697115789473684,0.27414037735849056,0.09976264548162858,0.24723763825421788,0.0728599063773559,0.26561290322580633,0.15759490662139206,0.412153,0.11078278947368421,0.13418884804753814,0.13418884804753814,1.0,0.13418884804753814,0.19609957300509342
2962.5,-0.42123,104.6367,8.681,8.5,,6.4758,7.4683,2.2269,40.3333,93.0103,10.5,2962.5,0.6803863157894737,0.23969306122448997,0.7878853831232893,0.9929795,0.6803863157894737,0.2830966037735849,0.10593941211519364,0.25205743342404013,0.07490024176564886,0.2729677419354838,0.16322801358234285,0.403333,0.09715915789473684,0.13019358573853984,0.13019358573853984,1.0,0.13019358573853984,0.18942009847198643
2963.0,-0.45668000000000003,105.7272,8.6643,8.5,,6.5172,7.469,2.2508,39.0473,93.5885,10.5,2963.0,0.6918652631578946,0.23258693877551018,0.7877781837243657,0.9923886666666667,0.6918652631578946,0.28746037735849056,0.10731432770605762,0.25436151343380864,0.0742154637813757,0.25754838709677425,0.14595721561969444,0.390473,0.0791336315789474,0.11254542359932092,0.11254542359932092,1.0,0.11254542359932092,0.19558931324278445
2963.5,-0.50854,106.6014,8.665,8.5,,6.5589,7.4661,2.2599,39.1259,93.8513,10.5,2963.5,0.7010673684210527,0.24379755102040823,0.7882224263842058,0.9915243333333333,0.7010673684210527,0.28944377358490564,0.10690170407149949,0.2553993658052685,0.07285729629186236,0.25167741935483867,0.13860203735144305,0.391259,0.07577868421052632,0.10719036078098468,0.10719036078098468,1.0,0.10719036078098468,0.19174227079796266
2964.0,-0.5886899999999999,107.3476,8.663,8.5,,6.5223,7.4633,2.2454,39.9564,92.8271,10.5,2964.0,0.7089221052631579,0.24934040816326544,0.788651677916821,0.9901885,0.7089221052631579,0.28171396226415096,0.0971266971201589,0.2513214082956378,0.06673414315164575,0.2610322580645161,0.14668998302207123,0.39956400000000003,0.08054905263157895,0.11361951782682508,0.11361951782682508,1.0,0.11361951782682508,0.177458376910017
2964.5,-0.70995,107.34,8.6607,8.5,,6.3832,7.4019,2.2552,40.5802,93.6948,10.5,2964.5,0.7088421052631579,0.2746171428571428,0.7981461928808475,0.9881675,0.7088421052631579,0.288262641509434,0.10369620655412115,0.2547820156508152,0.07021558069550238,0.2547096774193549,0.14038030560271653,0.405802,0.0868230526315789,0.11360167911714772,0.11360167911714772,1.0,0.11360167911714772,0.17755621561969434
